assessment status,Site_Latitude,Site_Longitude
complete,46.594811,-120.48982
complete,46.593176,-120.53482
complete,46.608416,-120.52173
complete,46.5728,-120.4788
complete,46.59107,-120.52626
complete,46.5719,-120.5138
complete,46.60509,-120.5466
complete,46.598792,-120.53253
complete,46.598002,-120.49128
complete,46.586,-120.5685
complete,46.850842,-122.486997
complete,46.933403,-122.61324
complete,46.96941,-122.642537
complete,46.944693,-122.608777
complete,46.406787,-120.265725
complete,46.404327,-120.264907
complete,46.411752,-120.273824
partial,46.977157,-123.82348
partial,48.236638,-122.059441
partial,47.267824,-122.22223
partial,47.274445,-122.21979
partial,47.636703,-122.52533
partial,47.636688,-122.521656
partial,47.639669,-122.52201
partial,47.645078,-122.52921
partial,45.705228,-122.555489
partial,45.767063,-122.544854
partial,47.587961,-122.1201
partial,48.714623,-122.50258
partial,48.7679,-122.4416
partial,48.75882,-122.480483
partial,47.058211,-122.378764
partial,47.083999,-122.413878
partial,47.036013,-122.355653
partial,47.101221,-122.411712
partial,47.05569,-122.287782
partial,47.070635,-122.297006
partial,47.070701,-122.330869
partial,47.020012,-122.345543
partial,47.060046,-122.378166
partial,47.105309,-122.412938
partial,45.999041,-120.292679
partial,48.094447,-119.786192
partial,48.005569,-119.674398
partial,47.697418,-122.903055
partial,48.561555,-122.438523
partial,48.476939,-122.341184
partial,45.598716,-122.430054
partial,45.61287,-122.403252
partial,45.591901,-122.402921
partial,45.615641,-122.447631
partial,47.769747,-120.665182
partial,45.752483,-120.89987
partial,47.651917,-122.70093
partial,47.628934,-122.75384
partial,47.626487,-122.66519
partial,47.642687,-117.213181
partial,47.646676,-117.247507
partial,47.664734,-117.225527
partial,47.635698,-117.208974
partial,46.726079,-122.982241
partial,46.742741,-122.952026
partial,46.708534,-122.953839
partial,47.497614,-117.576499
partial,47.551305,-117.550482
partial,48.28023,-117.70793
partial,48.281233,-117.716662
partial,48.012446,-122.778205
partial,47.204158,-120.972859
partial,47.205204,-120.976121
partial,47.180577,-122.540396
partial,47.125239,-122.553491
partial,46.200235,-119.00709
partial,48.545133,-117.876263
partial,47.754921,-118.519939
partial,48.3371,-117.299
partial,48.24682,-121.602364
partial,48.247782,-121.603262
partial,47.248751,-122.16117
partial,47.702795,-117.19448
partial,47.711563,-117.05374
partial,47.686962,-117.240278
partial,46.572693,-120.404777
partial,46.575638,-120.402863
partial,46.550738,-120.381615
partial,47.443776,-120.293326
partial,47.41084,-120.273004
partial,47.403378,-120.26374
partial,47.414025,-120.26474
partial,47.427107,-120.29176
partial,47.37747,-120.15521
partial,46.93285,-117.6904
partial,47.325756,-119.55105
partial,47.325836,-119.554528
partial,47.312661,-119.56069
partial,45.677658,-122.500774
partial,45.613141,-122.533837
partial,47.30004,-122.377902
partial,47.297606,-122.35494
partial,47.2922,-122.3498
partial,47.316209,-122.38842
partial,48.725022,-122.687231
partial,48.845252,-122.592183
partial,48.919105,-122.63725
partial,46.021529,-121.290123
partial,45.818637,-120.814271
partial,47.971967,-118.970669
partial,48.084894,-121.963583
partial,48.087045,-121.962767
partial,48.0899,-121.970293
partial,46.674674,-120.711672
partial,47.333037,-123.15967
partial,46.9803,-123.889045
partial,46.9814,-123.903806
partial,47.820707,-121.555217
partial,47.600347,-122.031712
partial,46.070007,-122.866462
partial,46.143709,-122.889042
partial,46.098025,-122.826658
partial,47.358794,-122.079179
partial,47.364882,-122.085968
partial,47.42818,-122.182655
partial,47.36019,-122.094735
partial,47.369993,-122.119809
partial,47.353306,-122.19593
partial,47.323294,-122.040276
partial,46.276607,-119.497555
partial,45.861385,-122.66416
partial,47.835243,-120.020781
partial,47.84124,-120.013393
partial,47.976006,-122.092302
partial,47.992734,-122.105843
partial,48.022549,-122.07943
partial,48.015128,-122.057923
partial,47.987198,-122.105328
partial,47.669,-122.062
partial,47.655285,-122.195118
partial,47.719408,-122.04142
partial,48.491959,-122.89725
partial,48.491816,-122.898503
partial,46.215347,-119.99014
partial,47.816281,-119.643577
partial,48.06389,-122.198748
partial,47.576343,-117.68132
partial,47.5722,-117.67
partial,47.537946,-122.22853
partial,47.571627,-122.218358
partial,48.85583,-122.491777
partial,48.441703,-120.170013
partial,46.552473,-122.27271
partial,47.127139,-119.283474
partial,47.111922,-119.26652
partial,48.718663,-122.208836
partial,48.8254,-122.2202
partial,46.728739,-120.696574
partial,46.578478,-122.905242
partial,46.577151,-122.904116
partial,46.376621,-123.801168
partial,48.165285,-118.987336
partial,48.177006,-117.061797
partial,47.458508,-122.846182
partial,46.775401,-123.48387
partial,47.019539,-122.759119
partial,47.047602,-122.766971
partial,47.062226,-122.82526
partial,47.0562,-122.7522
partial,47.804741,-122.187733
partial,48.295884,-122.657261
partial,46.349123,-124.05171
partial,47.13775,-122.8855
partial,47.727876,-117.31415
partial,47.101367,-122.20734
partial,47.416444,-119.91601
partial,46.238061,-119.103139
partial,48.051921,-119.906237
partial,45.9386,-119.60894
partial,46.5748,-123.2995
partial,47.331346,-122.603668
partial,47.330833,-122.604956
partial,47.373011,-122.693124
partial,47.309276,-122.678635
partial,48.118094,-122.768615
partial,47.160271,-122.270664
partial,47.138804,-122.31313
partial,47.181728,-122.256989
partial,47.125931,-122.258171
partial,47.946083,-124.38379
partial,47.235702,-119.84595
partial,47.075946,-119.856727
partial,47.230069,-119.848687
partial,47.236278,-119.840757
partial,46.685861,-123.7256
partial,46.685152,-123.72562
partial,47.667343,-117.877517
partial,47.667754,-117.876211
partial,47.458822,-122.185237
partial,47.505564,-122.184721
partial,46.278712,-119.288078
partial,45.817401,-122.74194
partial,47.892342,-117.358258
partial,47.969263,-117.351916
partial,46.91238,-119.62813
partial,46.911166,-119.62664
partial,47.003095,-123.480471
partial,47.654746,-122.349039
partial,47.726417,-122.337367
partial,47.707631,-122.295443
partial,47.631852,-122.30828
partial,47.591076,-122.299006
partial,48.503591,-122.228141
partial,48.083137,-123.106058
partial,45.617003,-122.049404
partial,47.9141,-122.0922
partial,48.014239,-122.411202
partial,47.198497,-123.0557
partial,47.710478,-117.398519
partial,47.652227,-117.420276
partial,47.672029,-117.420022
partial,47.699426,-117.385478
partial,47.698402,-117.436661
partial,47.087964,-117.585705
partial,47.179141,-122.575046
partial,45.726413,-121.812741
partial,45.70118,-121.887398
partial,45.726452,-121.811141
partial,47.248884,-122.501496
partial,47.203605,-122.473772
partial,47.179467,-122.442584
partial,47.239366,-122.495351
partial,47.248254,-122.479497
partial,47.178441,-122.428158
partial,47.197315,-122.495051
partial,47.209673,-122.447795
partial,47.281985,-122.374586
partial,47.229556,-122.485927
partial,47.289609,-122.517828
partial,47.225803,-122.460806
partial,47.228244,-122.399388
partial,47.208803,-122.420344
partial,47.24461,-122.459857
partial,47.344006,-124.288176
partial,47.069706,-120.675713
partial,46.438883,-122.852623
partial,46.449,-122.8473
partial,48.701681,-119.43442
partial,46.377188,-120.318155
partial,46.381508,-120.326893
partial,46.380947,-120.305527
partial,46.381333,-120.334712
partial,46.383139,-120.312905
partial,46.043244,-118.67215
partial,46.960778,-122.83195
partial,47.221551,-122.55017
partial,47.215568,-122.564381
partial,47.067676,-122.703203
partial,46.2013,-123.3802
partial,46.960159,-119.04196
partial,45.581788,-122.346374
partial,46.752489,-118.310083
partial,47.41047,-120.326149
partial,47.697794,-117.289453
partial,46.576737,-120.608559
partial,46.535504,-121.927698
partial,45.741413,-121.494286
partial,46.675606,-123.66477
partial,45.902743,-122.753293
partial,46.615186,-120.50856
partial,46.5969,-120.5157
partial,46.604271,-120.56787
partial,46.580949,-120.51198
partial,46.574234,-120.52289
partial,46.582927,-120.53864
partial,46.59017,-120.553554
partial,46.588442,-120.568984
partial,46.941286,-122.588551
partial,46.926335,-122.588244
partial,46.950298,-122.62387
partial,46.400659,-120.245196
none,46.963572,-123.792713
none,46.638197,-123.059284
none,46.630074,-123.057041
none,46.340418,-117.051063
none,47.289249,-122.182354
none,47.324824,-122.17602
none,47.288567,-122.214317
none,47.298137,-122.22473
none,45.9133,-122.4433
none,45.782164,-122.54
none,45.788605,-122.54506
none,45.730141,-122.559148
none,45.718988,-122.572262
none,45.721456,-122.57159
none,45.726722,-122.621788
none,45.730347,-122.56084
none,45.867374,-122.411876
none,47.612081,-122.138466
none,47.591803,-122.141549
none,47.629355,-122.12327
none,47.604036,-122.17106
none,47.552479,-122.171112
none,47.550482,-122.183521
none,47.575922,-122.164073
none,47.635631,-122.235225
none,48.778,-122.5265
none,48.718946,-122.4936
none,48.745982,-122.462121
none,48.763482,-122.49223
none,48.74793,-122.4024
none,48.74555,-122.432904
none,48.724535,-122.4992
none,48.77163,-122.47875
none,48.7687,-122.4164
none,48.7673,-122.464
none,46.910634,-118.099858
none,47.054172,-122.378423
none,47.056566,-122.399337
none,47.11764,-122.388313
none,47.001243,-122.542286
none,47.592739,-122.63549
none,47.573402,-122.63912
none,47.574754,-122.66492
none,47.572282,-122.69285
none,47.582438,-122.613609
none,47.569514,-122.64826
none,47.564257,-122.66164
none,47.593423,-122.62719
none,47.557266,-122.66665
none,48.006559,-119.676153
none,48.007349,-119.674683
none,48.509051,-122.373988
none,48.487754,-122.417556
none,45.592993,-122.461089
none,47.601839,-120.654126
none,47.602055,-120.656466
none,47.568125,-120.602613
none,47.512793,-120.478799
none,47.517724,-120.471229
none,46.270932,-122.90542
none,46.2825,-122.91801
none,46.271576,-122.9075
none,46.726587,-123.001679
none,46.735247,-122.988619
none,46.706031,-122.9634
none,46.6592,-122.9634
none,46.643329,-122.942737
none,47.211958,-122.356406
none,48.011932,-122.776993
none,46.41067,-117.042823
none,46.4112,-117.0578
none,46.417229,-117.05696
none,46.392046,-117.0784
none,46.404177,-117.066985
none,46.392054,-117.080476
none,46.408632,-117.042749
none,47.165245,-122.491489
none,47.157621,-122.519532
none,47.185949,-122.523353
none,47.158867,-122.545089
none,47.15714,-122.569128
none,47.162588,-122.57529
none,47.16189,-122.498936
none,47.179839,-122.512648
none,47.16618,-122.521214
none,47.149133,-122.508861
none,47.121396,-122.538827
none,46.892389,-117.361035
none,46.894791,-117.360913
none,46.031051,-118.387571
none,46.5664,-117.1308
none,48.1197,-118.2027
none,48.340583,-122.318439
none,48.136101,-123.746054
none,48.874334,-118.604812
none,46.9705,-120.57055
none,47.648838,-118.149807
none,47.950324,-117.457992
none,47.946403,-117.456914
none,47.950466,-117.468127
none,47.23655,-121.177147
none,46.754137,-122.110109
none,46.870209,-122.264051
none,46.870841,-122.267482
none,46.868497,-122.263394
none,46.924895,-122.349422
none,47.816978,-122.261061
none,47.847181,-122.305181
none,47.788501,-122.282141
none,47.79812,-122.276572
none,47.796956,-122.287645
none,47.813565,-122.334808
none,47.810881,-122.334481
none,47.820082,-122.362799
none,47.813198,-122.276533
none,47.812555,-122.242886
none,47.839686,-122.24808
none,47.801704,-122.288797
none,47.857958,-122.25863
none,47.828112,-122.348077
