School Building: Year of Most Recent Seismic Improvements (old),Building/School (2024),Year of Most Recent Seismic Retrofit (2024),,URMs,URMs notes
Roxhill School: 2021,Roxhill (building),2021,,,
Sacajawea Elementary: 2015,Sacajawea,2015,,,
Sand Point Elementary: 2019,Sand Point,2019,,,
Sanislo Elementary: 1998,Sanislo,1998,,,
Schmitz Park School Interim Site: 2001 (additional work scheduled for 2023),Schmitz Park (Interim site),2023,,,
Seward (TOPS K-8): 1999,Seward (TOPS),1999,TOPS K-8 (@Seward): 1999,unreinforced masonry,
"Sugiyama, Alan T., High School at South Lake: 2004",Alan T. Sugiyama High School,2004,,,
South Shore K-8: 2009,South Shore,2009: new construction,,,
"Stanford, John Center for Educational Excellence (District Office): 2001",Stanford Center (JSCEE),2001,,,
Stevens Elementary: 2001,Stevens,2001,,,
Thornton Creek Elementary: 2016,Thornton Creek,2016: new construction,,,
View Ridge Elementary: 2019,View Ridge,2019,,unreinforced masonry,
Van Asselt School Interim Site: 2013 (BEX V addition and modernization of 1909 building to open 2023),Van Asselt (Interim site),"2023: major renovation of historic landmark2013: 1950’s era building",,,
Viewlands Elementary: 2011 (BEX V replacement to open 2023),Viewlands,2023: new construction,,,
Washington Middle School: 2022,Washington,2022,,,
"Webster, David School (Licton Springs K-8): 2021",Webster,2020: major renovation,Licton Springs K-8 (Webster School): 2021,unreinforced masonry,Major renovation
Wedgwood Elementary: 2020,Wedgwood,2020,,,
West Seattle Elementary: 2007,West Seattle Elementary,2023: major renovation,,,
West Seattle High School: 2002,West Seattle High School,2002,,unreinforced masonry,
West Woodland Elementary: 2021,West Woodland,1991,,,
Whitman Middle School: 1995,"Whitman, Marcus",2020,,,
Whittier Elementary: 1999,Whittier,1999: new construction,,,
Orca K-8 (@Whitworth): 2020,Whitworth (Orca K-8),2020,Whitworth (Orca K-8): 2020,,
"Luke, Wing Elementary: 2021",Wing Luke,2021: new construction,,,
